model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,avg_precision
stage,0.533064435813166,0.4875930689863699,0.36788079470198676,0.28556740778820205,0.32153968598509514,0.5093891566487485,0.361674450929206
main,0.5991435116024301,0.5014858367600061,0.3981831945495837,0.06760056548001542,0.11557899362777412,0.6685115014581814,0.48043588333486575
ensemble,0.5342097400657305,0.4903460756207856,0.37254901960784315,0.29546330805809023,0.3295584862385321,0.5118465275762298,0.3736652627359646
